,non-zero,num-clusters,max,mean,std
796,44,2,7.931942462921143,4.237539844079451,2.403034984562465
797,80,2,12.602789878845215,4.623048096895218,3.4422762992468092
798,60,2,21.639511108398438,7.240002139409383,6.0093067007997245
799,136,2,20.763227462768555,5.714677102425519,4.294399552732281
800,312,6,17.77264404296875,5.1517627239227295,3.7083197404731787
801,20,1,4.3642144203186035,2.8405224323272704,1.178055231738803
802,72,1,11.666125297546387,3.796281761593289,2.37605030987573
803,16,1,23.376413345336914,10.451590061187744,7.681247783925394
804,32,1,8.127241134643555,4.1643957644701,2.507146450554002
805,124,3,13.348991394042969,4.746585669056062,3.2814827325950646
806,168,2,24.402387619018555,5.987616902305966,4.713571338168989
807,60,1,9.584525108337402,3.230032483736674,2.0210792989812076
808,164,1,14.886796951293945,4.925966870494005,3.5796932105132684
809,60,1,7.468288421630859,3.3833896636962892,1.8110948707161554
810,20,1,3.562258005142212,2.818612003326416,0.4640521370568293
811,52,1,5.953531265258789,3.0366646693303037,1.171389580971487
812,240,2,14.209476470947266,6.985814766089121,3.520910515686108
813,332,9,10.157431602478027,3.678410349122013,1.8544931878609707
814,36,1,5.057758331298828,2.5875817802217274,1.1176916521470623
815,76,1,19.30018424987793,4.652737630041022,4.031775054259041
816,76,2,14.008806228637695,3.6616098692542627,2.999580868847128
817,24,1,8.169401168823242,4.690548658370972,2.241296731767241
818,324,1,54.23340606689453,11.269966650892187,11.600909162843504
819,20,1,4.20993709564209,2.8624983549118044,0.8178392286402936
820,20,1,4.649322509765625,2.646164298057556,1.1852950945607772
821,156,1,13.312898635864258,4.6265989144643145,2.775196734246316
822,120,1,29.95726203918457,8.84303584098816,7.814362018590555
823,112,3,21.55738067626953,5.433225567851748,4.937445853047749
824,1108,13,19.43971061706543,4.502050035266669,2.755075363297671
825,16,1,10.299975395202637,6.11630254983902,2.9986006229618987
826,12,1,5.617164134979248,3.9183159669240317,1.2175567537655765
827,28,1,4.013522148132324,2.513754333768572,0.8192007256058041
828,756,1,59.667205810546875,12.113839655956895,12.768685504829927
829,48,2,7.099236488342285,3.2144478062788644,1.8734136089854807
830,112,3,4.003938674926758,2.5539054231984273,0.7546986098259771
831,144,1,16.497451782226562,4.750070585144891,3.679060775029115
832,20,1,7.2474493980407715,4.255442094802857,1.795036043833206
833,92,1,9.971575736999512,4.244845131169194,2.29837096979641
834,536,3,128.7744598388672,14.393316980618149,20.563019405932483
835,452,2,21.868419647216797,6.241036260022526,5.143568174946274
836,88,4,16.006752014160156,5.754104435443878,4.084507586946022
837,68,2,5.413358688354492,2.9189669875537647,1.2486093353181518
838,164,1,118.2894515991211,19.847328976887027,25.377323678798533
839,12,1,2.9623239040374756,2.8516740798950195,0.12364923105891225
840,72,2,13.615373611450195,4.673153559366862,3.018152809625226
841,108,2,10.56390380859375,3.514306810167101,1.8889842666859882
842,20,1,5.401346683502197,3.32259316444397,1.6853061393802287
843,116,1,14.10350227355957,4.751699237987913,3.508293106422668
844,164,1,22.133207321166992,5.459920135939994,4.574952808250593
845,96,2,7.6625847816467285,3.459902728597323,1.5709139138769201
846,20,1,7.402222156524658,4.263952660560608,2.41724800236696
847,24,1,4.863013744354248,2.589664856592814,1.1780053045333163
848,24,1,3.442721366882324,2.7095288832982383,0.39301181889394876
849,52,2,15.7586030960083,4.634851849996126,3.959405182061618
850,32,1,5.179436206817627,2.959554687142372,1.2713712018998085
851,156,2,31.090530395507812,7.875687709221473,7.391925550711452
852,44,1,6.302432537078857,2.881536700508811,1.3749226908720011
853,504,2,89.98004913330078,9.673023350655086,14.506746631813686
854,72,1,4.971883296966553,2.9567952818340726,0.9100042440576842
855,116,2,10.956208229064941,3.741965807717422,2.3071119325353435
856,20,1,5.408030033111572,4.1127277135849,1.4891848300974053
857,24,1,4.014945030212402,2.8502927819887796,0.8383345824414051
858,16,1,9.840399742126465,5.8888227343559265,3.25317411685471
859,24,2,6.958913803100586,3.9688373804092407,1.8229554019087981
860,96,1,33.467933654785156,6.11302266518275,6.836238263120841
861,272,3,19.22899627685547,5.777892615865259,4.225804109504998
862,52,1,8.118094444274902,4.681404572266799,2.3131692689003045
863,28,1,5.430086612701416,2.7439597504479543,1.451934526715577
864,1208,5,25.416616439819336,5.567682486101492,4.633068908468704
865,48,2,15.869231224060059,5.234752267599106,3.947608630720831
866,24,1,12.13123893737793,5.465190410614014,3.7162250717713956
867,28,1,10.475488662719727,4.084221584456308,2.775050394368171
868,16,1,8.046079635620117,5.329313695430756,2.0658590569704764
869,16,1,5.367600917816162,3.401521384716034,1.2862272148782676
870,120,2,31.094484329223633,7.665613786379496,7.71654301823733
871,116,2,24.993223190307617,7.596250714926884,7.215169835279743
872,96,1,8.249836921691895,3.734359239538511,1.7662917337574187
873,128,1,12.905902862548828,4.747300762683153,2.887452955446687
874,140,2,10.275752067565918,4.270949384144374,2.550392457036626
875,184,3,9.75814151763916,3.362980119560076,1.5642695737815098
876,40,2,5.531383991241455,3.290116584300995,1.1950279025660346
877,112,3,7.533846378326416,3.2416570442063466,1.5508883777138178
878,512,2,47.059783935546875,9.257410937920213,10.229327130069327
879,20,1,9.600630760192871,4.327401924133301,3.0922845761695674
